onset	duration	trial_type	response_time	feedback_onset	correct/incorrect
0.7115698136149999	2.5	A	0.733400123338	1.7115224227	0
3.22817489724	2.5	B	0.550069712948	4.22814290083	0
5.7281213183399995	2.5	C	0.766747029993	6.72810441457	0
8.228063211639999	2.5	C	0.7167915684	9.22802819669	1
10.7279776363	2.5	A	0.550109859394	11.7279872956	1
13.227925566700002	2.5	B	0.700050801857	14.2278748554	1
15.7278620266	2.5	C	0.683404213445	16.7278783267	1
18.2278295774	2.5	BL	0.6999240236040001	19.2276448434	1
20.7275939812	2.5	A	0.533385091059	21.72756772	1
23.22753617630001	2.5	B	0.71679549249	24.227512329899998	1
25.727460562199997	2.5	C	0.550142459517	26.7274439602	1
28.227402757300002	2.5	A	0.383448374538	29.227387060999998	1
30.727345254299998	2.5	B	0.45011320996299997	31.727326841300002	1
33.227285638299996	2.5	BL	0.7668028727949999	34.2272868458	1
35.7272296446	2.5	C	0.483387973754	36.7272233057	1
38.227170934200004	2.5	BL	0.7000861186570001	39.2271715379	1
40.7271101108	2.5	B	0.43342345657399994	41.7270935089	0
43.2270589468	2.5	A	0.666708422998	44.2270344967	1
45.7269984252	2.5	A	0.583380397244	46.7269760881	1
48.2269360926	2.5	C	0.466719350075	49.226921301800004	1
50.726869533999995	2.5	B	0.733444495727	51.7268686284	0
53.2268207848	2.5	A	0.550086918567	54.2268029754	1
55.7267521132	2.5	B	0.800084277353	56.7267454724	0
58.2267033639	2.5	C	0.600082224753	59.2266858565	1
60.726643748	2.5	BL	0.666812260424	61.726643748	1
63.2265750764	2.5	BL	0.6334892001519999	64.226586245	1
65.72652662899999	2.5	BL	0.66681195857	66.7265290438	1
68.22646731489999	2.5	C	0.8000504698190001	69.2264504111	0
70.726411623	2.5	A	0.566751920011	71.72639321	1
73.2263574404	2.5	B	0.750039769131	74.2263248403	1
75.7262948059	2.5	C	0.78343648153	76.7262751855	1
78.2262354918	2.5	A	0.550057035121	79.22621858800001	1
80.7261764796	2.5	B	0.633332236601	81.7261595758	1
83.2261186747	2.5	BL	0.8000839755	84.22613618220001	1
85.726058455	2.5	BL	0.700155846696	86.72606177540001	1
88.2260033669	2.5	A	0.600094902578	89.2259864631	1
90.72594163790001	2.5	C	0.583420845544	91.72592654530001	1
93.2258856442	2.5	BL	0.700085213099	94.2258838331	1
95.7258272357	2.5	B	0.900078511962	96.7258082189	1
98.2257576585	2.5	A	0.600091582195	99.2257498104	1
100.72570890899999	2.5	B	0.616748433609	101.725691704	1
103.22565170799999	2.5	C	0.583413601073	104.225642049	1
105.725591187	2.5	C	0.650141825625	106.725575188	1
108.225535193	2.5	B	0.516722202585	109.225515271	1
110.72547769	2.5	A	0.466757081696	111.725458975	1
113.22541747	2.5	C	0.550084805596	114.22539996299999	1
115.72535845799999	2.5	A	0.550143666927	116.72534276200001	1
118.225301861	2.5	BL	0.766782648645	119.225292201	1
120.72524315	2.5	B	0.650138203389	121.725217794	1
123.225193495	2.5	C	0.6834030060330001	124.225167536	1
125.725130559	2.5	BL	0.7001012113070001	126.72512754	1
128.225071245	2.5	BL	0.633476522327	129.225071547	1
130.72501313799998	2.5	B	0.616757187347	131.724994423	1
133.224951409	2.5	A	0.633448449998	134.224933298	1
135.724892095	2.5	A	0.600115730434	136.724878814	1
138.22483700700002	2.5	C	0.533472930278	139.224819198	1
140.724778598	2.5	BL	0.73349732	141.724780409	0
143.224718379	2.5	B	0.650083266146	144.224701475	1
145.724660272	2.5	C	0.500112138383	146.724646085	1
148.224602165	2.5	A	0.7000523111220001	149.224585262	1
150.724546172	2.5	B	0.550166004048	151.724522627	1
153.224487159	2.5	C	0.550084805596	154.224471463	1
155.72443146700002	2.5	A	0.5667495051879999	156.724412149	1
158.224379096	2.5	B	0.683407835681	159.22435374	1
160.724318273	2.5	C	0.533389015147	161.724295332	1
163.224257147	2.5	B	0.683425041301	164.224237829	1
165.724198739	2.5	A	0.500111232825	166.724180929	1
168.224140934	2.5	C	0.516721900731	169.224125539	1
170.724085846	2.5	B	0.5667485996289999	171.724055962	1
173.224030758	2.5	BL	0.9001582011499999	174.224025022	1
175.72397084	2.5	A	0.633374797872	176.72395152099998	1
178.223906998	2.5	A	0.566779992338	179.22389281099998	1
180.72385130599997	2.5	B	0.450145810084	181.723835912	1
183.223795614	2.5	C	0.650064551261	184.22377871	1
185.72373539400002	2.5	A	0.483390086725	186.723719698	1
188.223667025	2.5	C	0.650031347433	189.223662195	1
190.7236222	2.5	B	0.766739181814	191.72360590000002	1
193.223562885	2.5	A	0.616772581847	194.223545076	1
195.723497232	2.5	BL	0.733453551315	196.72350840099998	1
198.22344637	2.5	C	0.566806253548	199.223432485	1
200.723389471	2.5	B	0.500112440237	201.723372567	1
203.223333175	2.5	BL	0.800091521824	204.223334081	1
205.723275069	2.5	C	0.566756749658	206.72325695700002	1
208.22321877299999	2.5	A	0.533473533984	209.22320368	1
210.723162779	2.5	B	0.483383445959	211.723145272	1
213.223103163	2.5	BL	0.766776309732	214.223092297	0
215.723033888	2.5	BL	0.7334891699680001	216.72304958400002	1
218.22298996900003	2.5	C	0.600082224753	219.22295767	1
220.72293488	2.5	B	0.483388275608	221.72290409099998	1
223.222874661	2.5	BL	0.633495840919	224.22287767900002	1
225.722814139	2.5	A	0.6001099952260001	226.72280115900003	1
228.222753919	2.5	C	0.516671491283	229.222743958	1
230.72270305700002	2.5	A	0.5833800953930001	231.72268675700002	1
233.222645252	2.5	B	0.533472628424	234.222628047	1
235.722587749	2.5	BL	0.833471330456	236.722583523	1
238.22253115200002	2.5	C	0.766803778353	239.22251304099998	1
240.72246821599998	2.5	B	0.416759662541	241.72245251900003	1
243.22241554200002	2.5	A	0.666773321387	244.222393809	1
245.72235381299998	2.5	A	0.466754666873	246.722327552	1
248.22229691400003	2.5	BL	0.7334834347600001	249.22229842299998	1
250.72223760000003	2.5	C	0.583397602864	251.72222160200002	1
253.222186436	2.5	B	0.400082285123	254.222163495	1
255.722121688	2.5	C	0.616757791053	256.722108407	1
258.222055432	2.5	BL	0.700064385241	259.22206720400004	1
260.722014229	2.5	BL	0.866743377572	261.722010305	1
263.221951594	2.5	B	0.783413842555	264.221932879	1
265.721891676	2.5	BL	0.700116605809	266.721884432	1
268.221828438	2.5	A	0.616780731878	269.221804894	1
270.721780293	2.5	A	0.516755708266	271.721762785	1
273.221724903	2.5	B	0.583409978837	274.221701962	1
275.721669211	2.5	C	0.616700438986	276.721647176	1
278.22161865	2.5	A	0.616775902232	279.22158997400004	1
280.721535792	2.5	BL	0.633441507382	281.72155571400003	1
283.221495494	2.5	BL	0.7001144928380001	284.221493683	0
285.721434369	2.5	C	0.616762922553	286.721419277	1
288.221375961	2.5	B	0.4667320279	289.221360566	1
290.721305478	2.5	A	0.533368790997	291.72133023	1
293.221288121	2.5	C	0.533424935653	294.221280877	1
295.72123243	2.5	B	0.566737431067	296.721195	1
298.221166475	2.5	A	0.600109693376	299.221158023	1
300.721096596	2.5	BL	0.7001323021629999	301.721102029	1
303.221042715	2.5	BL	0.733495508881	304.22104452599996	1
305.720992456	2.5	C	0.600139274968	306.720959253	1
308.220927709	2.5	BL	0.6000942988719999	309.220928916	1
310.720856019	2.5	B	0.416768718129	311.720852698	1
313.220813307	2.5	BL	0.600098826666	314.220815721	1
315.720766067	2.5	A	0.5501168020130001	316.720777839	1
318.22071279	2.5	B	0.7334112918960001	319.220688038	1
320.720652268	2.5	BL	0.6667340804999999	321.720656494	0
323.22059506700003	2.5	BL	0.7001000038940001	324.22060080200004	1
325.720542394	2.5	C	0.616724285372	326.72052277299997	1
328.220501191	2.5	B	0.516777441682	329.220470402	1
330.720427689	2.5	C	0.483390086727	331.72040263599996	1
333.220366564	2.5	BL	0.733475888435	334.220362036	1
335.72031057	2.5	A	0.5833822083619999	336.720293969	1
338.220255784	2.5	C	0.550076353711	339.220240692	1
340.720198583	2.5	B	0.383426942975	341.720183792	1
343.22011783700003	2.5	A	0.500083764204	344.220109084	0
345.720068484	2.5	B	0.966716180619	346.72005278800003	0
348.220010076	2.5	BL	0.866778392518	349.22002818699997	1
350.71995378	2.5	A	0.550112576069	351.71993416	1
353.21987424199995	2.5	BL	0.733497018145	354.219896881	1
355.71985930000005	2.5	C	0.5667193198899999	356.719814928	1
358.219798175	2.5	C	0.666781169564	359.21976497099996	1
360.719742483	2.5	BL	0.633420981378	361.719759085	1
363.21966505800003	2.5	B	0.683435002449	364.219645136	1
365.719604235	2.5	A	0.63339079608	366.719590047	1
368.219550052	2.5	BL	0.566810177637	369.219551259	1
370.71948922900003	2.5	BL	0.666822825277	371.71951186800004	1
373.219429311	2.5	BL	0.566813799875	374.219444403	1
375.71939595599997	2.5	A	0.616733340959	376.719382071	1
378.219322153	2.5	C	0.616778015201	379.219322455	1
380.71926344199994	2.5	B	0.633377816403	381.71923808699995	1
383.219207449	2.5	BL	0.500173112687	384.21920805199994	1
385.71915115300004	2.5	C	0.7167420645110001	386.719125496	1
388.21908036900004	2.5	B	0.550109557542	389.21907704800003	1
390.719039769	2.5	A	0.516754802708	391.719024677	1
393.21897955	2.5	C	0.5667455811	394.218965966	1
395.71891570800005	2.5	B	0.5667618811590001	396.718900313	1
398.218856696	2.5	A	0.550139139134	399.21884009400003	1
