onset	duration	trial_type	response_time	feedback_onset	correct/incorrect
0.714833794718	2.5	A	0.616781084384	1.71480360933	0.0
3.21475999144	2.5	C	0.48342957945	4.21475153953	1.0
5.73141130884	2.5	B	0.700098193072	6.73136874743	1.0
8.23132241286	2.5	C	0.48346972601599997	9.2313293555	1.0
10.7312712486	2.5	B	0.683407483742	11.731280606099999	1.0
13.231220386199999	2.5	A	0.483477876071	14.231216160299999	1.0
15.7311924648	2.5	A	0.366814967485	16.7311689202	0.0
18.2311159448	2.5	B	0.783397190527	19.2311029651	0.0
20.731089834400002	2.5	C	0.500107912765	21.731076250999998	1.0
23.2310905891	2.5	A	0.433370431179	24.2309991273	1.0
25.7309627539	2.5	B	0.5501042754290001	26.7309582261	1.0
28.230910985999998	2.5	C	0.483505344775	29.230961395599998	1.0
30.7308592181	2.5	B	0.666749072781	31.73085408650001	1.0
33.230826165100005	2.5	A	0.416745525996	34.2308162039	1.0
35.7307801323	2.5	C	0.433428085274	36.7307671526	1.0
38.2307244403	2.5	A	0.400079568688	39.2307162902	1.0
40.7306768983	2.5	C	0.46681282432099996	41.7306491277	1.0
43.2306103395	2.5	B	0.5834340770709999	44.230602491300004	1.0
45.730553138199994	2.5	C	0.5167433828360001	46.73054529	1.0
48.2305077092	2.5	B	0.583465168023	49.2305001628	1.0
50.7304707321	2.5	A	0.566788645825	51.7304471875	1.0
53.2304283216	2.5	A	0.466715627368	54.230419266000006	1.0
55.7303653851	2.5	BL	0.6332381588	56.73019544130001	1.0
58.2301509179	2.5	B	0.683407785597	59.2301433715	0.0
60.7300885851	2.5	C	0.533443147779	61.7300644367	1.0
63.2300543246	2.5	C	0.516696293627	64.23005915430001	1.0
65.7299877659	2.5	B	0.633391198724	66.7299747861	1.0
68.2299393183	2.5	BL	n/a	69.2299332812	n/a
70.72988392810001	2.5	BL	0.566822453464	71.7298854374	1.0
73.2298384991	2.5	A	0.550083145656	74.2298240101	1.0
75.7297800904	2.5	BL	0.733415316852	76.7297734496	1.0
78.2297256058	2.5	B	0.583476336615	79.2297117205	1.0
80.7296768564	2.5	BL	0.600151047693	81.7296774601	1.0
83.22960576979999	2.5	C	0.516736742047	84.2296012419	1.0
85.72955611479999	2.5	A	0.7501449653319999	86.72954615360001	1.0
88.2295212507	2.5	A	0.45009283516599996	89.22950464870001	1.0
90.7294589178	2.5	C	0.483420221979	91.72945529559999	1.0
93.2294165074	2.5	B	0.516714103007	94.2293938683	1.0
95.72936655049999	2.5	A	0.566770232741	96.72935447639999	1.0
98.22931357520001	2.5	B	0.566729784314	99.22929908620002	1.0
100.72926059999999	2.5	C	0.483425655348	101.72925275200001	1.0
103.22921396299999	2.5	B	0.51672587531	104.229197361	1.0
105.729158271	2.5	C	0.6667255281750001	106.729136236	1.0
108.22909624	2.5	A	0.600086450955	109.229082657	1.0
110.729054735	2.5	C	0.450058423823	111.729017607	1.0
113.229002666	2.5	B	0.5667261620690001	114.22899029	1.0
115.728954218	2.5	A	0.450056612699	116.72894365299999	0.0
118.228900639	2.5	BL	0.800095446204	119.228903054	1.0
120.728854003	2.5	BL	0.600174592295	121.728837099	1.0
123.228797405	2.5	C	0.450032162531	124.22878321799999	1.0
